form_name,field_name,page
03 - Screening Final v1.0,Extremities - What was the body system assessment?,44
03 - Screening Final v1.0,"Extremities - if abnormal - clinically signifcant, please specify",45
03 - Screening Final v1.0,Was a neurological examination performed?,45
03 - Screening Final v1.0,Mental Status,45
03 - Screening Final v1.0,Cranial Nerves,45
03 - Screening Final v1.0,Motor Systems,46
03 - Screening Final v1.0,Reflexes,46
03 - Screening Final v1.0,Sensory System,47
03 - Screening Final v1.0,Co-ordination,47
03 - Screening Final v1.0,Station and Gait,48
03 - Screening Final v1.0,Detailed findings of Neurological Examination,48
03 - Screening Final v1.0,C-SSRS Questionnaire - Date and Time (Transcribe from C-SSRS paper source workbook),48
03 - Screening Final v1.0,1. Wish to be dead (Lifetime),48
03 - Screening Final v1.0,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep and not wake up.",48
03 - Screening Final v1.0,1. Wish to be dead (Months),49
03 - Screening Final v1.0,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep and not wake up.",49
03 - Screening Final v1.0,2. Non-specific Active Suicidal Thoughts (Lifetime),49
03 - Screening Final v1.0,"General non-specific thoughts of wanting to end one's life / commit suicide (e.g. ""I've thought about killing myself"") without thoughts of ways to kill oneself / associated methods, intent, or plan during the assessment period.",49
03 - Screening Final v1.0,2. Non-specific Active Suicidal Thoughts (Months),50
03 - Screening Final v1.0,"General non-specific thoughts of wanting to end one's life / commit suicide (e.g. ""I've thought about killing myself"") without thoughts of ways to kill oneself / associated methods, intent, or plan during the assessment period.",50
03 - Screening Final v1.0,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Lifetime),50
03 - Screening Final v1.0,"Subject endorses thoughts of suicide and has thought of at least one method during the assessment period. This is different from a specific plan with time, place or method details worked out (e.g. thought of method to kill self but not a specific plan). Includes person who would say, ""I thought about taking an overdose but I never made a specific plan as to when, where or how I would actually do it… and I would never go through with it"".",50
03 - Screening Final v1.0,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Months),51
03 - Screening Final v1.0,"Subject endorses thoughts of suicide and has thought of at least one method during the assessment period. This is different from a specific plan with time, place or method details worked out (e.g. thought of method to kill self but not a specific plan). Includes person who would say, ""I thought about taking an overdose but I never made a specific plan as to when, where or how I would actually do it… and I would never go through with it"".",51
03 - Screening Final v1.0,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan (Lifetime)",51
03 - Screening Final v1.0,"Active suicidal thoughts of killing oneself and subject reports having some intent to act on such thoughts, as opposed to ""I have the thoughts but I definitely will not do anything about them"".",51
03 - Screening Final v1.0,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan (Months)",51
03 - Screening Final v1.0,5. Active Suicidal Ideation with Specific Plan and Intent (Lifetime),52
03 - Screening Final v1.0,Thoughts of killing oneself with details of plan fully or partially worked out and subject has some intent to carry it out.,52
03 - Screening Final v1.0,5. Active Suicidal Ideation with Specific Plan and Intent (Months),52
03 - Screening Final v1.0,Most Severe Ideation (Lifetime),52
03 - Screening Final v1.0,"The following feature should be rated with respect to the most severe type of ideation (i.e. 1-5 from above, with 1 being the least severe and 5 being the most severe). Ask about time he/she was feeling the most suicidal.",52
03 - Screening Final v1.0,Description of Ideation (Lifetime),52
03 - Screening Final v1.0,Most Severe Ideation (Months),53
03 - Screening Final v1.0,"The following feature should be rated with respect to the most severe type of ideation (i.e. 1-5 from above, with 1 being the least severe and 5 being the most severe). Ask about time he/she was feeling the most suicidal.",53
03 - Screening Final v1.0,Description of Ideation (Months),53
03 - Screening Final v1.0,Frequency (Lifetime),54
03 - Screening Final v1.0,Frequency (Months),54
03 - Screening Final v1.0,Duration (Lifetime),54
03 - Screening Final v1.0,Duration (Months),55
03 - Screening Final v1.0,Controllability (Lifetime),55
03 - Screening Final v1.0,Controllability (Months),56
03 - Screening Final v1.0,Deterrents (Lifetime),56
03 - Screening Final v1.0,Deterrents (Months),57
03 - Screening Final v1.0,Reasons for Ideation (Lifetime),57
03 - Screening Final v1.0,Or both?),57
03 - Screening Final v1.0,Reasons for Ideation (Months),59
03 - Screening Final v1.0,Or both?),59
03 - Screening Final v1.0,Actual Attempt (Lifetime),60
03 - Screening Final v1.0,"A potentially self-injurious act committed with at least some wish to die, as a result of act. Behaviour was in part thought of as method to kill oneself. Intent does not have to be 100%. If there is any intent/desire to die associated with the act, then it can be considered an actual suicide attempt. There does not have to be any injury or harm, just the potential for injury or harm. If person pulls trigger while gun is in mouth but gun is broken so no injury results, this is considered an attempt. Inferring Intent: Even if an individual denies intent/wish to die, it may be inferred clinically from the behaviour or circumstances. For example, a highly lethal act that is clearly not an accident so no other intent but suicide can be inferred (e.g. gunshot to head, jumping from window of a high floor/storey). Also, if someone denies intent to die, but they thought that what they did could be lethal, intent maybe inferred.",60
03 - Screening Final v1.0,Have you done anything to harm yourself?,60
03 - Screening Final v1.0,"Have you done anything dangerous where you could have died?  (What did you do?  Did you ___ as a way to end your life?  Did you want to die (even a little) when you___?  Were you trying to end your life when you___?  Or did you think it was possible you could have died from___?) Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behaviour without suicidal intent))",60
03 - Screening Final v1.0,Total Number of Attempts (Lifetime),60
03 - Screening Final v1.0,Actual Attempt (Years),61
03 - Screening Final v1.0,"A potentially self-injurious act committed with at least some wish to die, as a result of act. Behaviour was in part thought of as method to kill oneself. Intent does not have to be 100%. If there is any intent/desire to die associated with the act, then it can be considered an actual suicide attempt. There does not have to be any injury or harm, just the potential for injury or harm. If person pulls trigger while gun is in mouth but gun is broken so no injury results, this is considered an attempt. Inferring Intent: Even if an individual denies intent/wish to die, it may be inferred clinically from the behaviour or circumstances. For example, a highly lethal act that is clearly not an accident so no other intent but suicide can be inferred (e.g. gunshot to head, jumping from window of a high floor/storey). Also, if someone denies intent to die, but they thought that what they did could be lethal, intent maybe inferred.",61
03 - Screening Final v1.0,Have you done anything to harm yourself?,61
03 - Screening Final v1.0,"Have you done anything dangerous where you could have died?  (What did you do?  Did you ___ as a way to end your life?  Did you want to die (even a little) when you___?  Were you trying to end your life when you___?  Or did you think it was possible you could have died from___?) Or did you do it purely for other reasons / without ANY intention of killing yourself (like to relieve stress, feel better, get sympathy, or get something else to happen)? (Self-Injurious Behaviour without suicidal intent))",61
03 - Screening Final v1.0,Total Number of Attempts (Years),61
03 - Screening Final v1.0,Has subject engaged in Non-Suicidal Self-Injurious Behaviour (Lifetime),62
03 - Screening Final v1.0,Has subject engaged in Non-Suicidal Self-Injurious Behaviour (Years),62
03 - Screening Final v1.0,Interrupted Attempt (Lifetime),62
03 - Screening Final v1.0,"When the person is interrupted (by an outside circumstance) from starting the potentially self- injurious act (if not for that, actual attempt would have occurred). Overdose: Person has pills in hand but is stopped from ingesting. Once they ingest any pills, this becomes an attempt rather than an interrupted attempt. Shooting: Person has gun pointed towards self, gun is taken away by someone else, or he/she is somehow prevented from pulling trigger. Once they pull the trigger, even if the gun fails to fire, it is an attempt. Jumping: Person is poised to jump, is grabbed and taken down from ledge. Hanging: Person has noose around neck but has not yet started to hang - is stopped from doing so.",62
03 - Screening Final v1.0,Total Number of Interrupted (Lifetime),63
03 - Screening Final v1.0,Interrupted Attempt (Years),63
03 - Screening Final v1.0,"When the person is interrupted (by an outside circumstance) from starting the potentially self- injurious act (if not for that, actual attempt would have occurred). Overdose: Person has pills in hand but is stopped from ingesting. Once they ingest any pills, this becomes an attempt rather than an interrupted attempt. Shooting: Person has gun pointed towards self, gun is taken away by someone else, or he/she is somehow prevented from pulling trigger. Once they pull the trigger, even if the gun fails to fire, it is an attempt. Jumping: Person is poised to jump, is grabbed and taken down from ledge. Hanging: Person has noose around neck but has not yet started to hang - is stopped from doing so.",63
03 - Screening Final v1.0,Total Number of Interrupted (Years),63
03 - Screening Final v1.0,Aborted Attempt (Lifetime),64
03 - Screening Final v1.0,"When person begins to take steps towards making a suicide attempt, but stops themselves before they actually have engaged in any self-destructive behaviour. Examples are similar to interrupted attempts, except that the individual stops him/herself instead of being stopped by something else.",64
03 - Screening Final v1.0,Total Number of Aborted (Lifetime),64
03 - Screening Final v1.0,"Acts or preparation towards imminently making a suicide attempt. This can include anything beyond a verbalisation or thought, such as assembling a specific method (e.g. buying pills, purchasing a gun) or preparing for one's death by suicide (e.g. giving things away, writing a suicide note).",64
03 - Screening Final v1.0,Aborted Attempt (Years),65
03 - Screening Final v1.0,"When person begins to take steps towards making a suicide attempt, but stops themselves before they actually have engaged in any self-destructive behaviour. Examples are similar to interrupted attempts, except that the individual stops him/herself instead of being stopped by something else.",65
03 - Screening Final v1.0,Total Number of Aborted (Years),65
03 - Screening Final v1.0,"Acts or preparation towards imminently making a suicide attempt. This can include anything beyond a verbalisation or thought, such as assembling a specific method (e.g. buying pills, purchasing a gun) or preparing for one's death by suicide (e.g. giving things away, writing a suicide note).",65
03 - Screening Final v1.0,Preparatory Acts or Behaviour (Lifetime),66
03 - Screening Final v1.0,"Acts or preparation towards imminently making a suicide attempt. This can include anything beyond a verbalisation or thought, such as assembling a specific method (e.g. buying pills, purchasing a gun) or preparing for one's death by suicide (e.g. giving things away, writing a suicide note).",66
03 - Screening Final v1.0,Preparatory Acts or Behaviour (Years),66
03 - Screening Final v1.0,Suicidal Behaviour (Lifetime),67
03 - Screening Final v1.0,Suicidal behaviour was present during the assessment period?,67
03 - Screening Final v1.0,Suicidal Behaviour (Years),67
03 - Screening Final v1.0,Most Recent Attempt Date,67
03 - Screening Final v1.0,Actual Lethality/Medical Damage - Most Recent Attempt,67
03 - Screening Final v1.0,Potential Lethality - Most Recent Attempt Code,68
03 - Screening Final v1.0,Most Lethal Attempt Date,68
03 - Screening Final v1.0,Actual Lethality/Medical Damage - Most Lethal Attempt,68
03 - Screening Final v1.0,Potential Lethality - Most Lethal Attempt Code,69
03 - Screening Final v1.0,Initial/First Attempt Date,69
03 - Screening Final v1.0,Actual Lethality/Medical Damage - Initial/First Attempt,70
03 - Screening Final v1.0,Potential Lethality - Initial/First Attempt Code,70
03 - Screening Final v1.0,Date of GP report,71
03 - Screening Final v1.0,Has the participant taken part in a study at Quotient before?,71
03 - Screening Final v1.0,Confirm GP report is dated within 24 months,71
03 - Screening Final v1.0,Confirm GP report is dated within 12 months,71
03 - Screening Final v1.0,Confirm if TOPS check is present with source documents,71
03 - Screening Final v1.0,Physician Comment,72
03 - Screening Final v1.0,I confirm that the screening criteria have been reviewed and the participant is eligible to admit,72
03 - Screening Final v1.0,What was the final Screening outcome?,72
03 - Screening Final v1.0,"If no, add reason for rejection",72
03 - Screening Final v1.0,Record date of screening failure (or date of last contact),73
03 - Screening Final v1.0,What is the status of the subject?,73
03 - Screening Final v1.0,Has the participant's photographic and wristband ID been verified and wristband applied to,73
04 - Admission/Predose Final v1.0,Bag search performed?,74
04 - Admission/Predose Final v1.0,"If restricted items removed, record items here",74
04 - Admission/Predose Final v1.0,Has the ICF version been checked?,74
04 - Admission/Predose Final v1.0,Signed ICF Version / Date,74
04 - Admission/Predose Final v1.0,Has it been more than 20 days since the Screening visit?,74
04 - Admission/Predose Final v1.0,Has the participant consumed any alcohol within 48 hours (72hrs prior to dosing) prior to,75
04 - Admission/Predose Final v1.0,Admission visit?  (If 'Yes' exclude per exclusion criteria #24),75
04 - Admission/Predose Final v1.0,"If consumed; date, time and number of units",75
04 - Admission/Predose Final v1.0,Has the participant consumed food and beverages containing methylxanthines (caffeinated,75
04 - Admission/Predose Final v1.0,"Has participant consumed food or beverages containing pomelo, grapefruit, grapefruit juice,",75
04 - Admission/Predose Final v1.0,"Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 48 hours (72hrs prior to dosing) prior to Admission visit? (If 'Yes' exclude per exclusion criteria #24)",75
04 - Admission/Predose Final v1.0,Has the participant consumed any food containing poppy seeds within 48 hours prior to,76
04 - Admission/Predose Final v1.0,Admission visit?,76
04 - Admission/Predose Final v1.0,Has the participant had strenuous activity (e.g. weightlifting) within 72 hours prior to Admission,76
04 - Admission/Predose Final v1.0,Has the participant use of tobacco products or experience daily exposure to second-hand,76
04 - Admission/Predose Final v1.0,Please ensure that a Protocol Deviation is completed,76
04 - Admission/Predose Final v1.0,Has the participant been unwell or have they had any accidents or injuries since Screening?,76
