form_name,field_name,page
03 - Screening Draft v0.1,"Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',",17
03 - Screening Draft v0.1,send sample for Microscopy),17
03 - Screening Draft v0.1,Confirm sample sent for microscopy (Complete associated paperwork),17
03 - Screening Draft v0.1,Comment,18
03 - Screening Draft v0.1,Has urinalysis been repeated as soon as possible with a clean catch specimen?,18
03 - Screening Draft v0.1,Ensure events are repeated to capture this data.,18
03 - Screening Draft v0.1,Staff Initials,18
03 - Screening Draft v0.1,Urinalysis Microscopy Sample (20 mL Sterilin screw cap),18
03 - Screening Draft v0.1,Confirm TDL form completed:,18
03 - Screening Draft v0.1,- Correct form used - Correct participant label applied - Correct slot number written - Correct sex and fasting status - Correct timepoint checked - Correct sample date and time written - Correct visit - Initials signed to confirm sample collected and form correct,18
03 - Screening Draft v0.1,Has there been a medic review of the Microscopy results?,19
03 - Screening Draft v0.1,Staff Initials,19
03 - Screening Draft v0.1,Comment,19
03 - Screening Draft v0.1,Drugs of abuse - Amphetamines (AMP),19
03 - Screening Draft v0.1,Drugs of abuse - Barbiturates (BAR),19
03 - Screening Draft v0.1,Drugs of abuse - Benzodiazepines (BZO),19
03 - Screening Draft v0.1,Drugs of abuse - Methadone (MTD),20
03 - Screening Draft v0.1,Staff Initials,20
03 - Screening Draft v0.1,Comment,20
03 - Screening Draft v0.1,Drugs of abuse - Tricyclic Antidepressants (TCA),20
03 - Screening Draft v0.1,Drugs of abuse - Cocaine (COC),20
03 - Screening Draft v0.1,Drugs of abuse - Morphine/Opiates (MOP),20
03 - Screening Draft v0.1,Drugs of abuse - Methamphetamine/Ecstasy (MET),21
03 - Screening Draft v0.1,Staff Initials,21
03 - Screening Draft v0.1,Comment,21
03 - Screening Draft v0.1,Drugs of abuse - Phencyclidine (PCP),21
03 - Screening Draft v0.1,Drugs of abuse - Marijuana/Cannabis (THC),21
03 - Screening Draft v0.1,Positive Drugs of Abuse result (Medic to exclude participant),21
03 - Screening Draft v0.1,Alcohol breath test (Positive result > 0.02),21
03 - Screening Draft v0.1,Comment,22
03 - Screening Draft v0.1,Positive result for Alcohol Breath Test (Medic to exclude participant),22
03 - Screening Draft v0.1,Staff Initials,22
03 - Screening Draft v0.1,Height (cm),22
03 - Screening Draft v0.1,Weight (kg),22
03 - Screening Draft v0.1,BMI (kg/m²) (For inclusion 18.0 to 32.0 kg/m2 at Screening),22
03 - Screening Draft v0.1,12 Lead Standard ECG,23
03 - Screening Draft v0.1,"Exclude if - QT interval corrected for heart rate using Fridericia’s formula (QTcF) >450 msec for male participants or >470 msec for female participants, QRS interval >120 msec, or PR interval >200 msec. (Supine for a minimum 3 minutes)",23
03 - Screening Draft v0.1,Staff Initials,23
03 - Screening Draft v0.1,Comment,23
03 - Screening Draft v0.1,ECG Rhythm assessment and interpretation,23
03 - Screening Draft v0.1,Was the ECG clinically significant? (Medic to assess),23
03 - Screening Draft v0.1,Staff Initials,24
03 - Screening Draft v0.1,Comment,24
03 - Screening Draft v0.1,ECG Findings,24
03 - Screening Draft v0.1,"ECG Findings, including rhythm assessment",24
03 - Screening Draft v0.1,Vital Signs,25
03 - Screening Draft v0.1,"Exclude if - Systolic blood pressure [SBP] >140 mmHg or diastolic blood pressure [DBP] >90 mmHg in the supine position. Supine heart rate, after resting for at least 3 minutes, outside the range of 50 to 100 beats per minute. (Supine for at least 3 minutes)",25
03 - Screening Draft v0.1,Staff Initials,25
03 - Screening Draft v0.1,Comment,25
03 - Screening Draft v0.1,Clinical Assessment of Vital Signs (Medic or Nurse to assess vital signs),25
03 - Screening Draft v0.1,Vital Sign Findings,25
03 - Screening Draft v0.1,Vital Signs Standing BP and HR,26
03 - Screening Draft v0.1,"Exclude if - Symptomatic hypotension or orthostatic hypotension, which is defined as a decrease of ≥20 mmHg in SBP and/or a decrease of ≥10 mmHg in DBP after at least 3 minutes of standing compared with the previous supine blood pressure. (Standing for at least 3 minutes)",26
03 - Screening Draft v0.1,Staff Initials,26
03 - Screening Draft v0.1,Comment,26
03 - Screening Draft v0.1,Is there a drop in SYSTOLIC BP from supine to standing?,26
03 - Screening Draft v0.1,Is there a drop in DIASTOLIC BP from supine to standing?,26
03 - Screening Draft v0.1,Vital Signs Difference for SYSTOLIC Drop,27
03 - Screening Draft v0.1,Staff Initials,27
03 - Screening Draft v0.1,Comment,27
03 - Screening Draft v0.1,Vital Signs Difference for DIASTOLIC Drop,27
03 - Screening Draft v0.1,Clinical Assessment of Standing Vital Signs (Medic or Nurse to assess vital signs),27
03 - Screening Draft v0.1,Vital Sign Findings,27
03 - Screening Draft v0.1,"Has the participant fasted for 8 hours? (If no, reschedule blood sample collection)",27
03 - Screening Draft v0.1,Comment,28
03 - Screening Draft v0.1,Haematology – Mix tube gently by inverting 8–10 times (2 mL K3EDTA),28
03 - Screening Draft v0.1,Staff Initials,28
03 - Screening Draft v0.1,Has there been a medic review of the Haematology blood results?,28
03 - Screening Draft v0.1,Chemistry and Virology – Mix tube gently by inverting 5–6 times (5 mL SST),28
03 - Screening Draft v0.1,Has there been a medic review of the Clinical Chemistry and Virology blood results?,28
03 - Screening Draft v0.1,Chemistry and Virology (Including Serum Pregnancy Test) – Mix tube gently by inverting 5–6,28
03 - Screening Draft v0.1,times (5 mL SST),28
03 - Screening Draft v0.1,Has there been a medic review of the Clinical Chemistry and Virology (inc Serum Pregnancy),29
03 - Screening Draft v0.1,blood results?,29
03 - Screening Draft v0.1,Staff Initials,29
03 - Screening Draft v0.1,Comment,29
03 - Screening Draft v0.1,Safety: Chemistry and Virology (Including FSH and Serum Pregnancy Test) #1 78.0 (hidden),29
03 - Screening Draft v0.1,Chemistry and Virology (Including FSH and Serum Pregnancy Test) – Mix tube gently by,29
03 - Screening Draft v0.1,inverting 5–6 times (5 mL SST),29
03 - Screening Draft v0.1,Has there been a medic review of the Clinical Chemistry and Virology (inc FSH and Serum,29
03 - Screening Draft v0.1,Pregnancy) blood results?,29
03 - Screening Draft v0.1,"Serum Pregnancy test (If 'Positive', inform PI/Medic and exclude)",29
03 - Screening Draft v0.1,Serum follicle-stimulating hormone [FSH] concentration,29
03 - Screening Draft v0.1,Confirm TDL form completed:,30
03 - Screening Draft v0.1,- Correct form used - Correct subject label applied - Correct slot number written - Correct sex and fasting status - Correct timepoint checked - Correct sample date and time written - Correct visit - Initials signed to confirm sample collected and form correct,30
03 - Screening Draft v0.1,Staff Initials,30
03 - Screening Draft v0.1,Comment,30
03 - Screening Draft v0.1,"Inclusion 1. Male or NCBP female participants between 18 and 55 years of age, inclusive.",30
03 - Screening Draft v0.1,Inclusion 2. BMI from 18.0 to 32.0 kg/m2 (inclusive).,30
03 - Screening Draft v0.1,Inclusion 3. In good health as determined by:,30
03 - Screening Draft v0.1,"a) Medical history b) Physical examination c) Neurological examination d) ECG e) Serum chemistry, urinalysis, hematology, and serology tests.",30
03 - Screening Draft v0.1,Staff Initials,31
03 - Screening Draft v0.1,Comment,31
03 - Screening Draft v0.1,Inclusion 4. Sexually active males who:,31
03 - Screening Draft v0.1,"a) Will commit to utilizing 2 different approved methods of birth control during the trial and for 90 days plus 5 half-lives (ie, 92 days) after the last dose of IMP, or b) Will remain abstinent during the trial and for 90 days plus 5 half-lives (ie, 92 days) after the last dose of IMP. c) Will refrain from sperm donation from the screening visit through 90 days plus 5 half-lives (ie, 92 days) after the last dose of IMP, or d) Have had a bilateral orchiectomy.",31
03 - Screening Draft v0.1,"Inclusion 5. Female participants who are surgically sterile (ie, have undergone bilateral",31
03 - Screening Draft v0.1,oophorectomy or hysterectomy) or who have been postmenopausal for at least 12 consecutive months. This will be confirmed with a follicle-stimulating hormone (FSH) assessment.,31
03 - Screening Draft v0.1,"Inclusion 6. Ability to provide written, informed consent prior to initiation of any trial-related",32
03 - Screening Draft v0.1,"procedures, and ability, in the opinion of the principal investigator, to comply with all the requirements of the trial.",32
03 - Screening Draft v0.1,Staff Initials,32
03 - Screening Draft v0.1,Comment,32
03 - Screening Draft v0.1,Exclusion 1. Non-English speakers and those with language or hearing impairments will not,32
03 - Screening Draft v0.1,participate in the trial.,32
03 - Screening Draft v0.1,Exclusion 2. Participants who are breast-feeding and/or who have a positive pregnancy test,32
03 - Screening Draft v0.1,result prior to receiving the IMP.,32
03 - Screening Draft v0.1,"Exclusion 3. Clinically significant abnormality in past medical history, or at the screening",32
03 - Screening Draft v0.1,"physical examination, that in the investigators or sponsor’s opinion may place the participant at risk or interfere with outcome variables including absorption, distribution, metabolism, and excretion of drug. This includes, but is not limited to, history of or concurrent cardiac, hepatic, renal, neurologic, endocrine, gastrointestinal, respiratory, hematologic, dermatologic, and immunologic disease.",32
03 - Screening Draft v0.1,Comment,33
03 - Screening Draft v0.1,Exclusion 4. History of drug and/or alcohol abuse within 2 years prior to screening.,33
03 - Screening Draft v0.1,Staff Initials,33
03 - Screening Draft v0.1,Exclusion 5. History of or current hepatitis or acquired immunodeficiency syndrome or carriers,33
03 - Screening Draft v0.1,"of hepatitis B surface antigen (HBsAg) and/or hepatitis C antibodies (anti-HCV), or human immunodeficiency virus (HIV) antibodies. Exceptions are permitted for participants with a prior history of infection with hepatitis A who have fully recovered and are experiencing no liver sequelae, or with hepatitis C who have been adequately treated to be considered cured with no liver sequelae.",33
03 - Screening Draft v0.1,Exclusion 6. History of any significant drug allergy or known or suspected hypersensitivity to any,33
03 - Screening Draft v0.1,component of IMP.,33
03 - Screening Draft v0.1,Exclusion 7. A positive urine or breath alcohol test or urine drug screen for substances of abuse,34
03 - Screening Draft v0.1,at screening or upon check-in to the trial site.,34
03 - Screening Draft v0.1,Staff Initials,34
03 - Screening Draft v0.1,Comment,34
03 - Screening Draft v0.1,Exclusion 8. Any history of significant bleeding or hemorrhagic tendencies.,34
03 - Screening Draft v0.1,Exclusion 9. A history of difficulty in donating blood.,34
03 - Screening Draft v0.1,Exclusion 10. The donation of blood or plasma within 30 days prior to the first dose of IMP.,34
03 - Screening Draft v0.1,Exclusion 11. Participants having taken an investigational drug within 90 days prior to first dose.,35
03 - Screening Draft v0.1,Staff Initials,35
03 - Screening Draft v0.1,Comment,35
03 - Screening Draft v0.1,"Exclusion 12. Use of prescription, over-the-counter, herbal medications, or vitamin supplements",35
03 - Screening Draft v0.1,within 14 days prior to the first dose of IMP and oral antibiotics within 30 days prior to the first dose of IMP. The sponsor may allow exceptions only if the medication’s administration is deemed unlikely to impact the PK result.,35
03 - Screening Draft v0.1,Exclusion 13. Exposure to any substances known to stimulate hepatic microsomal enzymes,35
03 - Screening Draft v0.1,"within 30 days prior to screening (eg, occupational exposure to pesticides, organic solvents, etc).",35
03 - Screening Draft v0.1,Exclusion 14. Use of tobacco products or daily exposure to second-hand smoke within 2 months,36
03 - Screening Draft v0.1,"prior to the screening visit, or urine cotinine concentrations >200 ng/mL or serum cotinine concentrations >20 ng/mL at screening or check-in.",36
03 - Screening Draft v0.1,Staff Initials,36
03 - Screening Draft v0.1,Comment,36
03 - Screening Draft v0.1,"Exclusion 15. Participants presenting with, or having a history of, uncontrolled hypertension",36
03 - Screening Draft v0.1,"(systolic blood pressure [SBP] >140 mmHg or diastolic blood pressure [DBP] >90 mmHg in the supine position) or symptomatic hypotension or orthostatic hypotension, which is defined as a decrease of ≥20 mmHg in SBP and/or a decrease of ≥10 mmHg in DBP after at least 3 minutes of standing compared with the previous supine blood pressure, at screening or check-in.",36
03 - Screening Draft v0.1,"Exclusion 16. Participants who have a supine heart rate, after resting for at least 3 minutes,",36
03 - Screening Draft v0.1,"outside the range of 50 to 100 beats per minute. The sponsor may allow exceptions if the results are not considered to be clinically significant; however, this will need to be approved by the medical monitor. Note: If the first hear rate measurement is abnormal, it can be repeated at the investigator’s discretion, in which case a third (confirmatory) measurement may also be required.",36
03 - Screening Draft v0.1,Exclusion 17. History of unexplained syncope.,36
03 - Screening Draft v0.1,Staff Initials,37
03 - Screening Draft v0.1,Comment,37
03 - Screening Draft v0.1,Exclusion 18. Abnormal ECG findings at screening or check-in including QT interval corrected for,37
03 - Screening Draft v0.1,"heart rate using Fridericia’s formula (QTcF) >450 msec for male participants or >470 msec for female participants, QRS interval >120 msec, or PR interval >200 msec.",37
03 - Screening Draft v0.1,Exclusion 19. Personal or family history of sudden death or long QT syndrome.,37
03 - Screening Draft v0.1,"Exclusion 20. History of serious mental disorders that, in the opinion of the investigator, would",37
03 - Screening Draft v0.1,exclude the participant from participating in this trial.,37
03 - Screening Draft v0.1,Exclusion 21. Participants with no permanent place of residence.,38
03 - Screening Draft v0.1,Staff Initials,38
03 - Screening Draft v0.1,Comment,38
03 - Screening Draft v0.1,"Exclusion 22. Any participant who, in the opinion of the investigator, should not participate in",38
03 - Screening Draft v0.1,the trial.,38
03 - Screening Draft v0.1,Exclusion 23. Previous exposure to OPC-224333.,38
03 - Screening Draft v0.1,Exclusion 24. Consumption of alcohol and/or food and beverages containing methylxanthines,39
03 - Screening Draft v0.1,"(caffeinated coffee, caffeinated tea, caffeinated soda, and chocolate), pomelo, grapefruit, grapefruit juice, Seville oranges, Seville orange juice, blueberry juice, or cranberry juice within 72 hours prior to dosing.",39
03 - Screening Draft v0.1,Staff Initials,39
03 - Screening Draft v0.1,Comment,39
03 - Screening Draft v0.1,Exclusion 25. Participants with active suicidal ideation or suicidal behavior within the last 6,39
03 - Screening Draft v0.1,"months, at the screening visit (Baseline/Screening version), and/or prior to dosing (as evidenced by clinical examination or an answer of “yes” on Questions 4 or 5 of the C SSRS Since Last Visit version) or suicidal behavior is present in the C-SSRS.",39
03 - Screening Draft v0.1,Exclusion 26. Not able to consume the FDA HFM (High Fat Meal) for Part 2 and Part 3 within 20,39
03 - Screening Draft v0.1,minutes.,39
03 - Screening Draft v0.1,Exclusion 27. Participant has any significant primary sleep disorder. Participants with known,39
03 - Screening Draft v0.1,"untreated moderate or severe sleep apnea, other major untreated sleep disorders, or a known diagnosis of a circadian rhythm disorder. Participants adequately treated for obstructive sleep apnea are not excluded.",39
03 - Screening Draft v0.1,Staff Initials,40
03 - Screening Draft v0.1,Comment,40
03 - Screening Draft v0.1,"Exclusion 28. Participants with abnormal liver function and or hepatic impairment, defined as",40
03 - Screening Draft v0.1,"participants with aspartate aminotransferase (AST), alanine aminotransferase (ALT), or alkaline phosphatase > the upper limit of normal (ULN) or total bilirubin > the ULN.",40
03 - Screening Draft v0.1,AST level (IU/L),40
03 - Screening Draft v0.1,Normal Range for Male: 10-50 Normal Range for Female: 10-35,40
03 - Screening Draft v0.1,ALT level (IU/L),40
03 - Screening Draft v0.1,ALP level (IU/L),41
03 - Screening Draft v0.1,Normal Range for Male: 40-129 Normal Range for Female: 35-104,41
03 - Screening Draft v0.1,Staff Initials,41
03 - Screening Draft v0.1,Comment,41
03 - Screening Draft v0.1,Total Bilirubin (umol/L),41
03 - Screening Draft v0.1,Was a physical examination performed?,41
03 - Screening Draft v0.1,"A complete physical examination will be performed at screening, and includes an assessment of the head, eyes, ears, nose, and throat; thorax; abdomen; skin and mucosae; urogenital system; neurological system; and extremities. The urogenital portion of the physical examination will be optional and performed, if necessary, based on participant’s symptoms.",41
03 - Screening Draft v0.1,Physical Examination Findings: Any clinically significant abnormal findings?,41
03 - Screening Draft v0.1,#1,41
03 - Screening Draft v0.1,"If yes, were there any clinically significant abnormal findings?",41
03 - Screening Draft v0.1,Physical Examination Category,42
03 - Screening Draft v0.1,Staff Initials,42
03 - Screening Draft v0.1,Comment,42
03 - Screening Draft v0.1,Detailed findings of Physical Examination,42
03 - Screening Draft v0.1,Was a neurological examination performed?,43
03 - Screening Draft v0.1,Staff Initials,43
03 - Screening Draft v0.1,Comment,43
03 - Screening Draft v0.1,Mental Status,43
03 - Screening Draft v0.1,Cranial Nerves,43
03 - Screening Draft v0.1,Motor Systems,43
03 - Screening Draft v0.1,Staff Initials,44
03 - Screening Draft v0.1,Comment,44
03 - Screening Draft v0.1,Reflexes,44
03 - Screening Draft v0.1,Sensory System,45
03 - Screening Draft v0.1,Staff Initials,45
03 - Screening Draft v0.1,Comment,45
03 - Screening Draft v0.1,Co-ordination,45
03 - Screening Draft v0.1,Station and Gait,46
03 - Screening Draft v0.1,Staff Initials,46
03 - Screening Draft v0.1,Comment,46
03 - Screening Draft v0.1,Detailed findings of Neurological Examination,46
03 - Screening Draft v0.1,C-SSRS Questionnaire - Date and Time (Transcribe from C-SSRS paper source workbook),46
03 - Screening Draft v0.1,1. Wish to be dead (Lifetime),46
03 - Screening Draft v0.1,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep and not wake up. (Have you wished you were dead or wished you could go to sleep and not wake up?)",46
03 - Screening Draft v0.1,Comment,47
03 - Screening Draft v0.1,1. Wish to be dead (Months),47
03 - Screening Draft v0.1,"Subject endorses thoughts about a wish to be dead or not alive anymore, or a wish to fall asleep and not wake up. (Have you wished you were dead or wished you could go to sleep and not wake up?)",47
03 - Screening Draft v0.1,Staff Initials,47
03 - Screening Draft v0.1,2. Non-specific Active Suicidal Thoughts (Lifetime),47
03 - Screening Draft v0.1,"General non-specific thoughts of wanting to end one's life / commit suicide (e.g. ""I've thought about killing myself"") without thoughts of ways to kill oneself / associated methods, intent, or plan during the assessment period. (Have you actually had any thoughts of killing yourself?)",47
03 - Screening Draft v0.1,2. Non-specific Active Suicidal Thoughts (Months),48
03 - Screening Draft v0.1,"General non-specific thoughts of wanting to end one's life / commit suicide (e.g. ""I've thought about killing myself"") without thoughts of ways to kill oneself / associated methods, intent, or plan during the assessment period. (Have you actually had any thoughts of killing yourself?)",48
03 - Screening Draft v0.1,Staff Initials,48
03 - Screening Draft v0.1,Comment,48
03 - Screening Draft v0.1,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Lifetime),48
03 - Screening Draft v0.1,"Subject endorses thoughts of suicide and has thought of at least one method during the assessment period. This is different from a specific plan with time, place or method details worked out (e.g. thought of method to kill self but not a specific plan). Includes person who would say, ""I thought about taking an overdose but I never made a specific plan as to when, where or how I would actually do it… and I would never go through with it"". (Have you been thinking about how you might do this?)",48
03 - Screening Draft v0.1,3. Active Suicidal Ideation with Any Methods (Not Plan) Without Intent to Act (Months),49
03 - Screening Draft v0.1,"Subject endorses thoughts of suicide and has thought of at least one method during the assessment period. This is different from a specific plan with time, place or method details worked out (e.g. thought of method to kill self but not a specific plan). Includes person who would say, ""I thought about taking an overdose but I never made a specific plan as to when, where or how I would actually do it… and I would never go through with it"". (Have you been thinking about how you might do this?)",49
03 - Screening Draft v0.1,Staff Initials,49
03 - Screening Draft v0.1,Comment,49
03 - Screening Draft v0.1,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan (Lifetime)",49
03 - Screening Draft v0.1,"Active suicidal thoughts of killing oneself and subject reports having some intent to act on such thoughts, as opposed to ""I have the thoughts but I definitely will not do anything about them"". (Have you had these thoughts and had some intention of acting on them?)",49
03 - Screening Draft v0.1,"4. Active Suicidal Ideation with Some Intent to Act, without Specific Plan (Months)",49
03 - Screening Draft v0.1,5. Active Suicidal Ideation with Specific Plan and Intent (Lifetime),50
03 - Screening Draft v0.1,Thoughts of killing oneself with details of plan fully or partially worked out and subject has some intent to carry it out. (Have you started to work out or worked out the details of how to kill yourself? Do you intend to carry out this plan?),50
03 - Screening Draft v0.1,Staff Initials,50
03 - Screening Draft v0.1,Comment,50
03 - Screening Draft v0.1,5. Active Suicidal Ideation with Specific Plan and Intent (Months),50
03 - Screening Draft v0.1,Most Severe Ideation (Lifetime),50
03 - Screening Draft v0.1,"The following feature should be rated with respect to the most severe type of ideation (i.e. 1-5 from above, with 1 being the least severe and 5 being the most severe). Ask about time he/she was feeling the most suicidal.",50
03 - Screening Draft v0.1,Description of Ideation (Lifetime),50
03 - Screening Draft v0.1,Staff Initials,51
03 - Screening Draft v0.1,Comment,51
03 - Screening Draft v0.1,Most Severe Ideation (Months),51
03 - Screening Draft v0.1,"The following feature should be rated with respect to the most severe type of ideation (i.e. 1-5 from above, with 1 being the least severe and 5 being the most severe). Ask about time he/she was feeling the most suicidal.",51
03 - Screening Draft v0.1,Description of Ideation (Months),51
03 - Screening Draft v0.1,Frequency (Lifetime),52
03 - Screening Draft v0.1,Staff Initials,52
